Id,NGram,DF,IDF
0,-100_authentic,9,4.079181246047625
1,-pron-_car,9,4.079181246047625
2,.net,9,4.079181246047625
3,0.50andquot,9,4.079181246047625
4,00003a_fridge,9,4.079181246047625
5,00003b_samsung,9,4.079181246047625
6,12-inch,9,4.079181246047625
7,1st_generation,9,4.079181246047625
8,22x34,9,4.079181246047625
9,285753a,9,4.079181246047625
10,2andquot_diameter,9,4.079181246047625
11,3/8-inch,9,4.079181246047625
12,325i,9,4.079181246047625
13,3rd_grade,9,4.079181246047625
14,40th,9,4.079181246047625
15,5/8andquot,9,4.079181246047625
16,50th_anniversary,9,4.079181246047625
17,5pcs,9,4.079181246047625
18,75ml,9,4.079181246047625
19,802.11b,9,4.079181246047625
20,abbyy,9,4.079181246047625
21,abdominal,9,4.079181246047625
22,abuse,9,4.079181246047625
23,acer_iconia,9,4.079181246047625
24,acne_prone,9,4.079181246047625
25,acqua,9,4.079181246047625
26,acronis_true,9,4.079181246047625
27,across,9,4.079181246047625
28,active_case,9,4.079181246047625
29,adapter_cord,9,4.079181246047625
30,adjustable_ring,9,4.079181246047625
31,adjustable_stand,9,4.079181246047625
32,adjusting,9,4.079181246047625
33,adult_size,9,4.079181246047625
34,aerial,9,4.079181246047625
35,agadir,9,4.079181246047625
36,ahava_time,9,4.079181246047625
37,aid_kit,9,4.079181246047625
38,air_compressor,9,4.079181246047625
39,air_flow,9,4.079181246047625
40,air_wick,9,4.079181246047625
41,ajax,9,4.079181246047625
42,aladdin,9,4.079181246047625
43,albert,9,4.079181246047625
44,alchemist,9,4.079181246047625
45,alcoholics,9,4.079181246047625
46,alex_toys,9,4.079181246047625
47,all_season,9,4.079181246047625
48,alora,9,4.079181246047625
49,alora_ambiance,9,4.079181246047625
50,alpinestars,9,4.079181246047625
51,alum,9,4.079181246047625
52,aluminum_free,9,4.079181246047625
53,amana_maytag,9,4.079181246047625
54,amiibo_card,9,4.079181246047625
55,amplified,9,4.079181246047625
56,andamp_accessory,9,4.079181246047625
57,andamp_andamp,9,4.079181246047625
58,andamp_boch,9,4.079181246047625
59,andamp_diamond,9,4.079181246047625
60,andamp_dress,9,4.079181246047625
61,andamp_free,9,4.079181246047625
62,andamp_girls,9,4.079181246047625
63,andamp_noble,9,4.079181246047625
64,andamp_pepper,9,4.079181246047625
65,andamp_remote,9,4.079181246047625
66,andamp_rice,9,4.079181246047625
67,andamp_wesson,9,4.079181246047625
68,andamp_windows,9,4.079181246047625
69,andis,9,4.079181246047625
70,android_devices,9,4.079181246047625
71,android_samsung,9,4.079181246047625
72,andtrade,9,4.079181246047625
73,angeles_dodgers,9,4.079181246047625
74,angle_stand,9,4.079181246047625
75,ann,9,4.079181246047625
76,anself,9,4.079181246047625
77,antenna_topper,9,4.079181246047625
78,anti_diarrheal,9,4.079181246047625
79,antioxidant_serum,9,4.079181246047625
80,antiqued_silver,9,4.079181246047625
81,anton,9,4.079181246047625
82,apexgears,9,4.079181246047625
83,apple_andamp,9,4.079181246047625
84,apples,9,4.079181246047625
85,appreciation,9,4.079181246047625
86,aquarian_drumhead,9,4.079181246047625
87,archive,9,4.079181246047625
88,armband_iphone,9,4.079181246047625
89,armor_dual,9,4.079181246047625
90,art_stickers,9,4.079181246047625
91,asia,9,4.079181246047625
92,aspherical,9,4.079181246047625
93,assorted_fruit,9,4.079181246047625
94,assorted_sizes,9,4.079181246047625
95,asst,9,4.079181246047625
96,atandamp;t_lucent,9,4.079181246047625
97,athlete,9,4.079181246047625
98,athlon,9,4.079181246047625
99,audio_adapter,9,4.079181246047625
100,austria,9,4.079181246047625
101,auto_aim,9,4.079181246047625
102,avant_g386,9,4.079181246047625
103,awakens,9,4.079181246047625
104,awg_gauge,9,4.079181246047625
105,axiom,9,4.079181246047625
106,azzaro,9,4.079181246047625
107,b12,9,4.079181246047625
108,babydoll,9,4.079181246047625
109,babyliss,9,4.079181246047625
110,backrest,9,4.079181246047625
111,badge_emblem,9,4.079181246047625
112,bag_brown,9,4.079181246047625
113,bag_shoulder,9,4.079181246047625
114,bag_travel,9,4.079181246047625
115,bakugan,9,4.079181246047625
116,ball_pens,9,4.079181246047625
117,balloon_bouquet,9,4.079181246047625
118,bananas,9,4.079181246047625
119,bandai_tamashii,9,4.079181246047625
120,bar_pack,9,4.079181246047625
121,barbecue_sauce,9,4.079181246047625
122,barefoot,9,4.079181246047625
123,barnes_andamp,9,4.079181246047625
124,barnes_noble,9,4.079181246047625
125,bars_chocolate,9,4.079181246047625
126,baseball_bat,9,4.079181246047625
127,baseball_hat,9,4.079181246047625
128,bass_clarinet,9,4.079181246047625
129,bath_mat,9,4.079181246047625
130,battery_battery,9,4.079181246047625
131,battery_charging,9,4.079181246047625
132,battery_compaq,9,4.079181246047625
133,battery_include,9,4.079181246047625
134,battery_kit,9,4.079181246047625
135,battery_motorola,9,4.079181246047625
136,battery_powered,9,4.079181246047625
137,battle_pack,9,4.079181246047625
138,batwing,9,4.079181246047625
139,bausch_lomb,9,4.079181246047625
140,bavvoandreg,9,4.079181246047625
141,bay_buccaneers,9,4.079181246047625
142,beading_station,9,4.079181246047625
143,beads_jewelry,9,4.079181246047625
144,bean_direct,9,4.079181246047625
145,bear_naked,9,4.079181246047625
146,bear_pretty,9,4.079181246047625
147,bearing_assembly,9,4.079181246047625
148,bearing_balls,9,4.079181246047625
149,beauty_bar,9,4.079181246047625
150,beauty_nail,9,4.079181246047625
151,beauty_tool,9,4.079181246047625
152,beech,9,4.079181246047625
153,bees_natural,9,4.079181246047625
154,behavior,9,4.079181246047625
155,belt_loops,9,4.079181246047625
156,bennett,9,4.079181246047625
157,bernat,9,4.079181246047625
158,beveled,9,4.079181246047625
159,beverage_cooler,9,4.079181246047625
160,big_idea,9,4.079181246047625
161,big_tall,9,4.079181246047625
162,biker_patch,9,4.079181246047625
163,bind,9,4.079181246047625
164,binder_inch,9,4.079181246047625
165,binoculars,9,4.079181246047625
166,black_anodized,9,4.079181246047625
167,black_dial,9,4.079181246047625
168,black_dual,9,4.079181246047625
169,black_lacquer,9,4.079181246047625
170,black_matte,9,4.079181246047625
171,black_series,9,4.079181246047625
172,black_sides,9,4.079181246047625
173,black_wood,9,4.079181246047625
174,blackberry_pearl,9,4.079181246047625
175,blackberry_q10,9,4.079181246047625
176,bladder,9,4.079181246047625
177,blanks,9,4.079181246047625
178,blaster_ages,9,4.079181246047625
179,blind_box,9,4.079181246047625
180,block_set,9,4.079181246047625
181,bloody,9,4.079181246047625
182,blowout,9,4.079181246047625
183,blue_fabric,9,4.079181246047625
184,blue_light,9,4.079181246047625
185,blue_orange,9,4.079181246047625
186,blue_size,9,4.079181246047625
187,blunt_tip,9,4.079181246047625
188,boar_bristle,9,4.079181246047625
189,boats,9,4.079181246047625
190,bobby,9,4.079181246047625
191,body_hair,9,4.079181246047625
192,body_protective,9,4.079181246047625
193,body_skinomi,9,4.079181246047625
194,bolle,9,4.079181246047625
195,book_black,9,4.079181246047625
196,book_case,9,4.079181246047625
197,bootcut,9,4.079181246047625
198,borderland,9,4.079181246047625
199,borescope,9,4.079181246047625
200,boston_celtics,9,4.079181246047625
201,bow_rosin,9,4.079181246047625
202,bowie,9,4.079181246047625
203,bowser,9,4.079181246047625
204,box_calendar,9,4.079181246047625
205,box_ounce,9,4.079181246047625
206,boxed_set,9,4.079181246047625
207,boys_shirt,9,4.079181246047625
208,bracelet_bangle,9,4.079181246047625
209,bracelet_jewelry,9,4.079181246047625
210,braided_stainless,9,4.079181246047625
211,brake_light,9,4.079181246047625
212,brand_lcd,9,4.079181246047625
213,breaking_strength,9,4.079181246047625
214,bridesmaid,9,4.079181246047625
215,broan_nutone,9,4.079181246047625
216,brochure,9,4.079181246047625
217,broil_element,9,4.079181246047625
218,bronze_tone,9,4.079181246047625
219,brooch_pin,9,4.079181246047625
220,brown_kraft,9,4.079181246047625
221,bruce,9,4.079181246047625
222,brunette,9,4.079181246047625
223,brush_head,9,4.079181246047625
224,brush_pen,9,4.079181246047625
225,brushed_nickel,9,4.079181246047625
226,brute,9,4.079181246047625
227,bsn,9,4.079181246047625
228,bubble_clear,9,4.079181246047625
229,bubble_gum,9,4.079181246047625
230,buccaneers,9,4.079181246047625
231,build_card,9,4.079181246047625
232,buildable,9,4.079181246047625
233,bulge,9,4.079181246047625
234,bumble,9,4.079181246047625
235,bumper_protection,9,4.079181246047625
236,bundles,9,4.079181246047625
237,burlap_ribbon,9,4.079181246047625
238,burner_grate,9,4.079181246047625
239,burner_receptacle,9,4.079181246047625
240,bushings,9,4.079181246047625
241,business_cards,9,4.079181246047625
242,butterfly_flower,9,4.079181246047625
243,buttermilk,9,4.079181246047625
244,button_head,9,4.079181246047625
245,buy_color,9,4.079181246047625
246,c++,9,4.079181246047625
247,c.skins,9,4.079181246047625
248,cable_andamp,9,4.079181246047625
249,cable_inch,9,4.079181246047625
250,cabrio,9,4.079181246047625
251,cadet,9,4.079181246047625
252,caffe,9,4.079181246047625
253,camber,9,4.079181246047625
254,camellia,9,4.079181246047625
255,campaign,9,4.079181246047625
256,campus,9,4.079181246047625
257,can_opener,9,4.079181246047625
258,cancelling,9,4.079181246047625
259,canvas_art,9,4.079181246047625
260,cap_capacity,9,4.079181246047625
261,cap_cover,9,4.079181246047625
262,cap_pack,9,4.079181246047625
263,cap_sleeve,9,4.079181246047625
264,capacitor_u.s.a.,9,4.079181246047625
265,car_windshield,9,4.079181246047625
266,carbide_end,9,4.079181246047625
267,carbon_black,9,4.079181246047625
268,carbonless,9,4.079181246047625
269,cards_envelope,9,4.079181246047625
270,carnelian,9,4.079181246047625
271,carnival,9,4.079181246047625
272,carr,9,4.079181246047625
273,carry_pouch,9,4.079181246047625
274,carryall,9,4.079181246047625
275,cartridge_high,9,4.079181246047625
276,case_alcatel,9,4.079181246047625
277,case_atandamp;t,9,4.079181246047625
278,case_built,9,4.079181246047625
279,case_color,9,4.079181246047625
280,case_dual,9,4.079181246047625
281,case_faceplate,9,4.079181246047625
282,case_fan,9,4.079181246047625
283,case_innovaa,9,4.079181246047625
284,case_kick,9,4.079181246047625
285,case_luxca,9,4.079181246047625
286,case_magicmobile,9,4.079181246047625
287,case_nagebee,9,4.079181246047625
288,case_replacement,9,4.079181246047625
289,case_stylus,9,4.079181246047625
290,case_tuner,9,4.079181246047625
291,cash_register,9,4.079181246047625
292,cast_car,9,4.079181246047625
293,casting_rod,9,4.079181246047625
294,catalyst,9,4.079181246047625
295,cell_armor,9,4.079181246047625
296,celsius,9,4.079181246047625
297,celtics,9,4.079181246047625
298,centrifuge,9,4.079181246047625
299,centura,9,4.079181246047625
300,ceramic_hair,9,4.079181246047625
301,cereal_box,9,4.079181246047625
302,cereal_packet,9,4.079181246047625
303,certification,9,4.079181246047625
304,cfm_led,9,4.079181246047625
305,chain_bracelet,9,4.079181246047625
306,chain_charm,9,4.079181246047625
307,chain_ring,9,4.079181246047625
308,challenger,9,4.079181246047625
309,channel_ventvisor,9,4.079181246047625
310,charger_cla,9,4.079181246047625
311,charger_gift,9,4.079181246047625
312,charger_travel,9,4.079181246047625
313,charging_data,9,4.079181246047625
314,charleston,9,4.079181246047625
315,charm_fit,9,4.079181246047625
316,checkers,9,4.079181246047625
317,checks,9,4.079181246047625
318,cheesecake,9,4.079181246047625
319,cherry_red,9,4.079181246047625
320,chevron_pattern,9,4.079181246047625
321,chiaogoo,9,4.079181246047625
322,chicken_flavor,9,4.079181246047625
323,chime,9,4.079181246047625
324,chip_snack,9,4.079181246047625
325,chocolate_brown,9,4.079181246047625
326,chocolate_fudge,9,4.079181246047625
327,christening,9,4.079181246047625
328,christopher,9,4.079181246047625
329,chrome_color,9,4.079181246047625
330,chrome_door,9,4.079181246047625
331,cigarette_lighter,9,4.079181246047625
332,cin_exp,9,4.079181246047625
333,cincinnati,9,4.079181246047625
334,circa,9,4.079181246047625
335,clam,9,4.079181246047625
336,clarke,9,4.079181246047625
337,clean_kit,9,4.079181246047625
338,cleanser_ounce,9,4.079181246047625
339,clear_back,9,4.079181246047625
340,clear_lens,9,4.079181246047625
341,clear_protective,9,4.079181246047625
342,clear_skin,9,4.079181246047625
343,clearing,9,4.079181246047625
